Path;SBE_version;Start_Time;System_Upload_Date;Date_from_the_Name_File;Latitude;Row_Latitude;Longitude;Row_Longitude;Station;Station_From_Name;Max_Depth;Surface_temperature;Max_difference_Tmd_Temperature;Unit_Temperature;Count_True;Count_Total;Dive_Begin_Index;Dive_End_Index;Error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\12kKu0530test150m.cnv;SBE 19;30.05.2024 12:16;30.05.2024 13:06;;None;None;None;None;12 km Kultuk (mpRing);12kKu;191.077;4.9734;1.02731226;tv290C: Temperature [ITS-90, deg C];65;4047;64;4110;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\12kKu0530_130m.cnv;SBE 19;30.05.2024 14:14;30.05.2024 14:25;;None;None;None;None;12 km Kultuk (mpRing);12kKu;129.318;7.5502;1.051450376;tv290C: Temperature [ITS-90, deg C];5;535;80;614;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\3kBa0610.cnv;SBE 19;10.06.2024 8:10;10.06.2024 8:21;10.06.2024;None;None;None;None;3 km Baikalskoe (25m);3kBa;31.476;3.4646;1.563779942;tv290C: Temperature [ITS-90, deg C];0;270;217;486;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\3kMar0531_25m.cnv;SBE 19;31.05.2024 5:22;31.05.2024 13:47;;None;None;None;None;mp Tolstiy-Snezhnaya (mTSG) 3 km Marituy (25m);3kMar;46.164;2.8746;1.420544402;tv290C: Temperature [ITS-90, deg C];0;573;97;669;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\3kSol0531__25m.cnv;SBE 19;31.05.2024 0:47;31.05.2024 0:55;;None;None;None;None;3 km Solzan;3kSol;36.061;4.1133;1.166590689;tv290C: Temperature [ITS-90, deg C];41;511;0;510;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\3kTo0605_25m.cnv;SBE 19;05.06.2024 19:24;05.06.2024 19:34;;None;None;None;None;3 km Tonkiy  (25m);3kTo;32.445;6.0127;0.894608181;tv290C: Temperature [ITS-90, deg C];3;365;76;440;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\3kTu0610.cnv;SBE 19;10.06.2024 15:00;10.06.2024 15:08;10.06.2024;None;None;None;None;3 km Turali;3kTu;27.408;4.8204;1.257212558;tv290C: Temperature [ITS-90, deg C];3;259;40;298;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\3kUh0605.cnv;SBE 19;05.06.2024 9:35;05.06.2024 9:51;05.06.2024;None;None;None;None;mp Vorota-Boldakovo;3kUh;35.797;2.7855;1.342277296;tv290C: Temperature [ITS-90, deg C];0;402;80;481;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kBa0610.cnv;SBE 19;10.06.2024 9:17;10.06.2024 10:00;10.06.2024;None;None;None;None;7 km Baikalskoe;7kBa;785.707;5.5234;1.593352873;tv290C: Temperature [ITS-90, deg C];702;1752;45;1796;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kel0608.cnv;SBE 19;08.06.2024 3:21;08.06.2024 20:02;08.06.2024;None;None;None;None;7 km Elohin;7kel;888.421;1.9927;2.132035142;tv290C: Temperature [ITS-90, deg C];539;1722;127;1848;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kIzh0606.cnv;SBE 19;05.06.2024 23:49;06.06.2024 1:00;06.06.2024;None;None;None;None;7 km Izhimey;7kIzh;1626.06;3.765;1.060864505;tv290C: Temperature [ITS-90, deg C];638;3294;42;3335;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kKa0601.cnv;SBE 19;01.06.2024 9:16;01.06.2024 10:11;01.06.2024;None;None;None;None;7 km Kadilniy;7kKa;1402.951;3.6411;0.686265778;tv290C: Temperature [ITS-90, deg C];677;2759;128;2886;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kLi0602.cnv;SBE 19;02.06.2024 7:21;02.06.2024 8:18;02.06.2024;None;None;None;None;7 km Listvyanka;7kLi;1406.123;3.1798;0.928537035;tv290C: Temperature [ITS-90, deg C];840;2944;83;3026;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kMi0601.cnv;SBE 19;01.06.2024 19:45;01.06.2024 20:35;01.06.2024;None;None;None;None;7 km Mishikha;7kMi;1365.826;5.7778;3.933199685;tv290C: Temperature [ITS-90, deg C];510;2573;136;2708;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kNA0609.cnv;SBE 19;09.06.2024 19:34;09.06.2024 21:11;09.06.2024;None;None;None;None;7 km N-Angarsk;7kNA;482.867;4.7241;0.809382684;tv290C: Temperature [ITS-90, deg C];467;1112;79;1190;not error
CTD_Data\2024\05-06_Ver\sbe19\cnvdata\7kSol0530.cnv;SBE 19;30.05.2024 23:09;31.05.2024 0:01;30.05.2024;None;None;None;None;7 km Solzan;7kSol;866.005;2.9106;1.272722392;tv290C: Temperature [ITS-90, deg C];545;1650;55;1704;not error
